name	age	seasons	mins	apps	minapp	starts	subs	ga	ga90	sota	win	draw	loss	cs	csperc	saves	rank
"Thomas Sørensen"	15	13	32189	364	87.7956534720077	363	1	457	1.39941905316923	1848	112	104	139	108	25.7846153846154	72.1955922746154	4
"Mark Schwarzer"	19	18	46173	514	89.7758149854944	514	0	656	1.27407402341111	2767	167	145	201	150	29.3888888888889	75.99245996	4
"Pepe Reina"	8	8	25634	285	89.940285205	285	0	247	0.868803163575	1073	147	73	65	134	47.1125	76.4481920275	4
"Magnus Hedman"	4	4	9090	101	90	101	0	130	1.252380952375	536	33	23	45	24	24.6	76.4880952375	4
"Jens Lehmann"	8	6	13252	148	88.38095238095	147	1	125	0.872869946716667	588	89	37	23	54	30.3333333333333	78.0316072066667	4
"Edwin van der Sar"	10	10	27822	313	88.92323994172	312	1	304	0.97445107381	1471	165	70	76	134	42.82	79.616782054	4
"Alan Miller"	9	6	5682	64	83.875	61	3	109	2.46289726255	386	9	18	35	10	17.7833333333333	68.6775382033333	3
Ederson	2	2	6614	74	89.3611111111	74	0	49	0.66894341365	160	62	6	6	36	48.5	69.34677293	3
"Hugo Lloris"	7	7	21367	239	89.4096038415429	239	0	253	1.06371283191429	855	140	46	51	86	35.9	70.41717342	3
"Tim Flowers"	10	10	25359	286	87.8410463876	284	2	354	1.4868000409	1304	119	64	98	82	26.29	70.72706849	3
"Richard Wright"	13	8	9793	111	86.4485119047625	109	2	146	1.785731215075	541	48	26	35	31	19.1875	71.8791661675	3
"Kasey Keller"	12	8	18017	201	89.746527777775	201	0	270	1.371175682175	1033	69	55	76	56	25.4875	72.76244063875	3
"David de Gea"	8	8	24733	275	89.9425675675625	275	0	278	1.00570852915	1050	156	62	57	101	37.1625	73.5816188825	3
"Joe Hart"	13	12	30487	340	89.6415113871667	340	0	383	1.1301599659	1398	169	73	97	127	40.5166666666667	73.6781438216667	3
"Tim Howard"	13	13	35663	399	86.0746491684	398	1	427	1.14407032336923	1692	173	122	101	132	30.4384615384615	73.8575923446154	3
"John Ruddy"	8	5	10601	118	89.82594594594	118	0	190	1.2756871751	593	32	31	54	25	38.16	73.898075664	3
"Shaka Hislop"	11	10	19573	220	88.98923796791	220	0	280	1.31331604772	1135	87	55	73	60	26.22	74.188306298	3
"Marcus Hahnemann"	5	4	10238	115	89.263157894725	115	0	166	1.4867152767	692	35	22	57	28	20.825	74.5952634275	3
"Bobby Mimms"	4	4	5366	61	77.375	59	2	66	1.174334064825	276	28	18	14	24	20.925	76.171875	3
"John Lukic"	9	6	13226	147	89.9761904761833	147	0	170	0.986020166916667	669	57	47	43	52	45.3333333333333	78.216096375	3
"Asmir Begović"	11	11	22369	252	87.703455053525	247	5	352	1.57837307161667	1094	79	69	102	62	24.5916666666667	64.0577415183333	2
"Jordan Pickford"	4	4	9630	107	90	107	0	160	1.865245009075	530	33	24	50	28	19.225	68.467993475	2
"Paul Robinson"	19	13	33450	375	88.5664072039077	373	2	580	1.61016538231538	1876	120	91	160	86	22.9923076923077	68.7207810507692	2
"Sander Westerveld"	7	4	7470	83	90	83	0	83	1.364217836275	340	39	20	24	29	22.05	68.925766815	2
"Martin Dúbravka"	2	2	4500	50	90	50	0	59	1.0899122807	184	18	10	22	15	31.1	69.583333335	2
"Heurelho Gomes"	10	6	17336	195	88.9052537257167	195	0	258	1.34246103758333	873	72	47	74	53	27.1333333333333	69.65546195	2
"Ali Al-Habsi"	6	4	9990	111	90	111	0	180	1.55956816485	579	29	34	49	23	23.875	70.391734795	2
"Luděk Mikloško"	5	5	15192	169	89.9	169	0	220	1.36556026222	798	54	46	69	41	21.12	71.010017568	2
"Brad Guzan"	9	7	13759	154	80.1020408163286	152	2	257	1.40116817888571	734	33	36	84	29	16.8428571428571	71.06221497	2
Adrián	5	5	11222	125	89.85263157894	125	0	167	1.38092353526	596	45	35	44	35	29.66	71.639683636	2
"Paul Jones"	7	7	18803	211	88.6570111915714	210	1	316	1.53278738738571	1122	69	46	93	58	28.0142857142857	71.7756756171429	2
"Bryan Gunn"	3	3	9355	104	89.9593495935	104	0	142	1.28191294606667	490	41	31	30	28	27.9666666666667	72.5727965266667	2
"Steve Ogrizovic"	8	8	17190	191	90	191	0	249	1.4417982456125	975	51	69	70	55	22.35	73.62517197	2
"Ben Foster"	13	13	29196	326	89.6395772255539	326	0	458	1.20258753680769	1590	92	93	138	79	32.9846153846154	74.0237436576923	2
"Brad Friedel"	17	16	40429	450	89.8832236842125	450	0	570	1.22779707340625	2420	179	124	146	133	26.925	75.712207458125	2
"Thomas Myhre"	10	7	8294	93	84.5714285714286	92	1	112	1.31958217222857	452	27	29	35	33	25.7571428571429	75.9342505714286	2
"Fraser Forster"	5	5	9553	107	89.48666666666	107	0	119	1.48563026576	385	43	25	38	37	26.68	66.414978504	1
"Mathew Ryan"	2	2	6480	72	90	72	0	109	1.5193498452	334	17	21	34	16	21.95	67.10901672	1
"Neil Etheridge"	1	1	3420	38	90	38	0	69	1.8157894737	210	10	4	24	10	26.3	67.14285714	1
"Simon Mignolet"	8	8	21996	245	89.7798132183875	244	1	311	1.2729567939375	1000	108	66	70	70	29.6	67.6899833625	1
"Shay Given"	21	19	40296	452	88.56874480667	452	0	607	1.57103019818	2274	167	128	152	111	22.745	69.3742341075	1
"Kevin Pressman"	8	8	18486	207	89.1046310629375	205	2	306	1.520868644675	1058	70	57	79	46	24.15	69.73416254875	1
"Wojciech Szczęsny"	5	5	11848	132	89.62352941176	132	0	154	1.1771861404	509	71	32	29	48	35	69.801204088	1
"Kasper Schmeichel"	12	7	15333	171	87.2450216450286	170	1	221	1.24710993437143	721	71	43	57	51	28.4	70.5279496642857	1
"Ian Walker"	12	11	27737	312	87.5229439732182	310	2	434	1.42021298095455	1521	90	97	122	78	26.9818181818182	70.8561281727273	1
"Robert Green"	11	8	23809	267	88.7288925438625	265	2	433	1.6288880261	1530	70	65	131	52	19.175	71.17544264875	1
"Tom Heaton"	5	4	8585	96	86.5625	96	0	132	1.3418864785	472	27	24	44	24	19	71.60570187	1
"Neville Southall"	8	7	18587	208	89.525	208	0	274	1.4474335386	1034	66	55	86	61	24.7714285714286	72.0721569842857	1
"Maik Taylor"	14	8	16084	182	83.8161764705875	180	2	230	1.5890136225625	1016	50	55	73	48	27.1625	73.23328379625	1
"Mark Crossley"	14	10	18111	204	87.07393162393	202	2	266	1.40216592604	991	67	58	75	53	22.05	73.613749253	1
"Dean Kiely"	9	7	17447	195	89.5248120300714	195	0	277	1.40065338974286	1054	68	49	74	54	27.6285714285714	73.9923160457143	1
"Neil Sullivan"	12	11	22099	247	87.5159090909091	246	1	367	1.34646724328182	1400	76	69	100	61	33.1090909090909	74.8770660827273	1
"Jussi Jääskeläinen"	14	14	39093	436	85.3965052687714	435	1	614	1.33548966688571	2314	138	114	182	109	23.2428571428571	74.91884339	1
"David James"	18	18	51331	572	89.5325232621778	571	1	661	1.17470601486667	2762	216	158	195	168	28.4333333333333	75.5138877666667	1
"Nigel Martyn"	14	11	33174	372	89.0735814502546	370	2	422	1.13303358285455	1789	152	102	115	136	36.7181818181818	76.52149087	1
"David Seaman"	12	12	30776	344	89.2894174539	344	0	296	0.887257968891667	1356	172	98	72	141	40.2833333333333	77.5483053375	1
"Petr Čech"	15	15	39487	443	88.6096487825867	442	1	366	0.821870409786667	1691	280	87	74	207	48.6066666666667	79.152825774	1
